Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Rahadian Al Azhar,@altazaro,2024-05-29T13:19:03.000Z,False,"Haha, klasik banget. Kalo mau jadi Atheis yang valid, ga perlu nyerang agama orang lain. Hitchens sih emang jagonya cari ribut, tapi gak berarti semua Atheis harus ikutan gaya dia. Btw, bukunya dia tuh lebih buat diskusi keras, bukan cuma buat ngata-ngatain. ",1,0,0,59,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1784019970625855488/tX0ee2rz_normal.jpg,https://x.com/altazaro/status/1795807066172575819,tweet_id:1795807066172575819
meteran_listrik,@indo_mie13,2024-05-28T05:16:13.000Z,False,Mulai nih agama damai ngata ngatain  nanti gw katain nabi klen pedofil terima ga lu ?,1,0,0,31,[],[],"['\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1778463864151289856/DZB0wc7g_normal.jpg,https://x.com/indo_mie13/status/1795323169785757757,tweet_id:1795323169785757757
garibaldi.,@Piztachioz,2024-05-27T15:12:10.000Z,False,"Baru ngata-ngatain orang indo yang rasis dan mabok agama. Belom puas banget sebenernya, tapi orangnya udah kabur duluan.",0,0,10,556,[],[],[],https://pbs.twimg.com/profile_images/1768503436335804416/CP8TqO53_normal.jpg,https://x.com/Piztachioz/status/1795110756955959619,tweet_id:1795110756955959619
ᝰ.ᐟ,@myuungcil,2024-05-27T02:15:42.000Z,False,"sara agama jir, ngata ngatain yatim jg",1,0,0,29,[],[],[],https://pbs.twimg.com/profile_images/1793409464504299520/AbhOPW1g_normal.jpg,https://x.com/myuungcil/status/1794915352335507677,tweet_id:1794915352335507677
maxsense,@sayapresident,2024-05-26T12:35:42.000Z,False,"long story short ini tuh geng-gengan/sirkel gitu di tele yang kerjaannya ngerusuh squad-squad lain, nah yang bikin heboh tuh kelakuan problematik membernya ex:  ngelecehin, ambil muka tanpa ijin, ngata-ngatain agama, join sq harus vcs dlu lah, ngedit muka orang jadi fogil ",1,0,0,58,[],[],"['\\U0001f480', '\\U0001f480']",https://pbs.twimg.com/profile_images/1771427505792270336/lRsvCz03_normal.jpg,https://x.com/sayapresident/status/1794708990582247919,tweet_id:1794708990582247919
Bearing Out Education,@beareducate,2024-05-26T05:05:04.000Z,False,"Ternyata yg haram itu lebih enak. Dan ternyata, syaithan manusia itu bukan hanya laki2 tapi juga perempuan. Jadi jgn ada perempuan yg sok pandai bicara dalam agama, ngata lelaki semua jahat. Jahat itu ada dalam semua manusia. Semoga mbak kost ini terus istiqamah dengan amalannya.",0,0,4,989,[],[],[],https://pbs.twimg.com/profile_images/1666072939337486342/bgGiz0vD_normal.jpg,https://x.com/beareducate/status/1794595585250693420,tweet_id:1794595585250693420
alsa²⁶,@yuciyushi,2024-05-25T14:53:11.000Z,False,"di rp tuh ada gc namanya 4twenty, anak-anak gc itu kerjaannya ngerusuh gc orang sampai bawa-bawa agama, orang tua, pokoknya sering ngata-ngatain orang yg engga salah gitu, terus kebanyakan mereka tuh masih smp",0,0,0,226,[],[],[],https://pbs.twimg.com/profile_images/1790581104015179776/DwP6ZPYG_normal.jpg,https://x.com/yuciyushi/status/1794381204961239261,tweet_id:1794381204961239261
pecel lele,@gagitutong,2024-05-25T00:06:41.000Z,False,"Hahahahahahaha
Ya elu krna tinggal di jkt sekitar aja jadi ngejelekin ny gak berani rame
Klo di daerah mah banyak bgt, pakde gw noh pengurus gereja dari dulu sering ngata""in sdra yg muslim
Tp y skrg udh kena karma 3 dari 4 anaknya nikah ma orang muslim dan pindah agama wkwkw",1,0,0,259,[],[],[],https://pbs.twimg.com/profile_images/1712062524311650304/NgtyLBaS_normal.jpg,https://x.com/gagitutong/status/1794158109847638177,tweet_id:1794158109847638177
Raa,@813do0ren,2024-05-23T04:04:31.000Z,False,Akun akun yg dulu bawa bawa agama buat unfoll doy sampe ngata ngatain mana nih gak keliatan skrg,0,0,0,72,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1795805040726458368/pKrml5ff_normal.jpg,https://x.com/813do0ren/status/1793493186914218239,tweet_id:1793493186914218239
Bb_y,@Bby_fue,2024-05-21T14:56:41.000Z,False,"Jijik lihat laki-laki yg sok sok an ngomong bawa-bawa agama, suka komentar baju perempuan, ngata-ngtain perempuan murahan tapi dia sendiri kek anjing ga ngotak, ga bisa bedain mana yg pantas mana yg engga sape berani bikin tulisan di banner kek gini. Laki-laki munafik!",0,0,2,221,[],[],[],https://pbs.twimg.com/profile_images/1595054045752070146/AMNVjMDw_normal.jpg,https://x.com/Bby_fue/status/1792932531685273708,tweet_id:1792932531685273708
